0, 12-14, 18:39:53, python, main.py, --epochs, 30, --w, 1, --a, 8
1, 12-14, 18:39:53, python, main.py, --epochs, 30, --w, 4, --a, 8
2, 12-14, 18:39:53, python, main.py, --epochs, 30, --w, 8, --a, 8
